[17:15:21] [INFO] received Windows console close event; shutting log-core down
[17:19:30] [INFO] received Windows console close event; shutting log-core down
[17:24:33] [INFO] received Windows console close event; shutting log-core down
[17:27:12] [INFO] received Windows console close event; shutting log-core down
[17:28:02] [INFO] received Windows console close event; shutting log-core down
[17:29:29] [INFO] received Windows console close event; shutting log-core down
[17:32:42] [INFO] received Windows console close event; shutting log-core down
[17:37:45] [INFO] received Windows console close event; shutting log-core down
[17:41:43] [INFO] received Windows console close event; shutting log-core down
[17:46:18] [INFO] received Windows console close event; shutting log-core down
[17:48:24] [INFO] received Windows console close event; shutting log-core down
[17:50:32] [INFO] received Windows console close event; shutting log-core down
[17:56:51] [INFO] received Windows console close event; shutting log-core down
[17:57:16] [INFO] received Windows console close event; shutting log-core down
[18:00:53] [INFO] received Windows console close event; shutting log-core down
[18:02:31] [INFO] received Windows console close event; shutting log-core down
[18:09:55] [INFO] received Windows console close event; shutting log-core down
[18:12:34] [INFO] received Windows console close event; shutting log-core down
[18:24:21] [INFO] received Windows console close event; shutting log-core down
[18:40:21] [INFO] received Windows console close event; shutting log-core down
[18:41:57] [INFO] received Windows console close event; shutting log-core down
[18:43:05] [INFO] received Windows console close event; shutting log-core down
[18:44:07] [INFO] received Windows console close event; shutting log-core down
[18:48:35] [INFO] received Windows console close event; shutting log-core down
[19:30:33] [INFO] received Windows console close event; shutting log-core down
[19:36:01] [INFO] received Windows console close event; shutting log-core down
[19:40:51] [INFO] received Windows console close event; shutting log-core down
[20:33:56] [INFO] received Windows console close event; shutting log-core down
[20:39:10] [INFO] received Windows console close event; shutting log-core down
[20:43:01] [INFO] received Windows console close event; shutting log-core down
[20:52:44] [INFO] received Windows console close event; shutting log-core down
[20:55:12] [INFO] received Windows console close event; shutting log-core down
[21:00:07] [INFO] received Windows console close event; shutting log-core down
[21:03:18] [INFO] received Windows console close event; shutting log-core down
[21:07:52] [INFO] received Windows console close event; shutting log-core down
[23:00:29] [INFO] received Windows console close event; shutting log-core down
[16:56:35] [INFO] received Windows console close event; shutting log-core down
[17:01:08] [INFO] received Windows console close event; shutting log-core down
[17:07:42] [INFO] received Windows console close event; shutting log-core down
[17:14:57] [INFO] received Windows console close event; shutting log-core down
[17:20:10] [INFO] received Windows console close event; shutting log-core down
[17:32:19] [INFO] received Windows console close event; shutting log-core down
[20:22:21] [INFO] received Windows console close event; shutting log-core down
[20:25:57] [INFO] received Windows console close event; shutting log-core down
[20:33:50] [INFO] received Windows console close event; shutting log-core down
[20:37:13] [INFO] received Windows console close event; shutting log-core down
[20:40:18] [INFO] received Windows console close event; shutting log-core down
[20:47:40] [INFO] received Windows console close event; shutting log-core down
[20:48:58] [INFO] received Windows console close event; shutting log-core down
[20:50:12] [INFO] received Windows console close event; shutting log-core down
[20:52:29] [INFO] received Windows console close event; shutting log-core down
[20:57:24] [INFO] received Windows console close event; shutting log-core down
[21:16:55] [INFO] received Windows console close event; shutting log-core down
[21:48:11] [INFO] received Windows console close event; shutting log-core down
[21:51:12] [INFO] received Windows console close event; shutting log-core down
[21:54:07] [INFO] received Windows console close event; shutting log-core down
[22:25:44] [INFO] received Windows console close event; shutting log-core down
[00:05:04] [INFO] received Windows console close event; shutting log-core down
[00:07:10] [INFO] received Windows console close event; shutting log-core down
[00:10:17] [INFO] received Windows console close event; shutting log-core down
[00:43:57] [INFO] received Windows console close event; shutting log-core down
[16:37:10] [INFO] received Windows console close event; shutting log-core down
[16:40:27] [INFO] received Windows console close event; shutting log-core down
[17:49:35] [INFO] received Windows console close event; shutting log-core down
[17:53:42] [INFO] received Windows console close event; shutting log-core down
[18:11:37] [INFO] received Windows console close event; shutting log-core down
[18:18:29] [INFO] received Windows console close event; shutting log-core down
[18:24:40] [INFO] received Windows console close event; shutting log-core down
[18:33:02] [INFO] received Windows console close event; shutting log-core down
